,App ID,AppName,,Reviews,Rating,,,
,id,track_name,price,rating_count_tot,user_rating,cont_rating,prime_genre,
1,281656475,PAC-MAN Premium,3.99,21292,4,4+,Games,1
2,281796108,Evernote - stay organized,0,161065,4,4+,Productivity,1
3,281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",0,188583,3.5,4+,Weather,1
4,282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",0,262241,4,12+,Shopping,1
5,282935706,Bible,0,985920,4.5,4+,Reference,1
6,283619399,Shanghai Mahjong,0.99,8253,4,4+,Games,1
7,283646709,PayPal - Send and request money safely,0,119487,4,4+,Finance,1
8,284035177,Pandora - Music & Radio,0,1126879,4,12+,Music,1
9,284666222,PCalc - The Best Calculator,9.99,1117,4.5,4+,Utilities,1
10,284736660,Ms. PAC-MAN,3.99,7885,4,4+,Games,1
11,284791396,Solitaire by MobilityWare,4.99,76720,4.5,4+,Games,1
12,284815117,SCRABBLE Premium,7.99,105776,3.5,4+,Games,1
13,284815942,Google – Search made just for mobile,0,479440,3.5,17+,Utilities,1
14,284847138,Bank of America - Mobile Banking,0,119773,3.5,4+,Finance,1
15,284862767,FreeCell,4.99,6340,4.5,4+,Games,1
16,284876795,TripAdvisor Hotels Flights Restaurants,0,56194,4,4+,Travel,1
17,284882215,Facebook,0,2974676,3.5,4+,Social Networking,1
18,284910350,"Yelp - Nearby Restaurants, Shopping & Services",0,223885,4,12+,Travel,1
20,284993459,"Shazam - Discover music, artists, videos & lyrics",0,402925,4,12+,Music,1
21,285005463,Crash Bandicoot Nitro Kart 3D,2.99,31456,4,4+,Games,1
22,285946052,iQuran,1.99,2929,4.5,4+,Reference,1
23,285994151,:) Sudoku +,2.99,11447,5,4+,Games,1
24,286058814,"Yahoo Sports - Teams, Scores, News & Highlights",0,137951,4,4+,Sports,1
25,286070473,Mileage Log | Fahrtenbuch,5.99,8,4.5,4+,Business,1
27,286799607,Cleartune - Chromatic Tuner,3.99,3241,4,4+,Music,1
28,286906691,Lifesum – Inspiring healthy lifestyle app,0,5795,3.5,4+,Health & Fitness,1
29,286911400,Hangman.,0,42316,3,9+,Games,1
31,288113403,iTranslate - Language Translator & Dictionary,0,123215,3.5,4+,Productivity,1
32,288120394,TouchOSC,4.99,782,4,4+,Music,1
33,288419283,RadarScope,9.99,3449,4,4+,Weather,1
34,288429040,LinkedIn,0,71856,3.5,4+,Social Networking,1
35,289084315,Period Tracker Deluxe,1.99,13350,4.5,12+,Health & Fitness,1
36,289446241,Election 2016 Map,0.99,137,3,4+,Entertainment,1
37,289523017,Blackjack by MobilityWare,0,180087,3.5,12+,Games,1
39,289894882,White Noise,0.99,33426,4,4+,Health & Fitness,1
40,290638154,iHeartRadio – Free Music & Radio Stations,0,293228,4,12+,Music,1
41,290807369,Line Rider iRide™,1.99,21609,3.5,9+,Entertainment,1
42,290986013,Deliveries: a package tracker,4.99,4684,4,4+,Utilities,1
43,291430598,Hurricane Pro,2.99,2104,4.5,17+,Weather,1
47,292421271,Fieldrunners,2.99,41633,4,9+,Games,1
48,292628469,Juxtaposer,2.99,3610,4.5,4+,Photo & Video,1
49,292738169,Deezer - Listen to your Favorite Music & Playlists,0,4677,3,12+,Music,1
50,293118835,iStellar,3.99,30,3.5,4+,Navigation,1
51,293523031,Sonos Controller,0,48905,4.5,4+,Music,1
52,293573778,Avertinoo,4.99,32,3,4+,Navigation,1
53,293622097,Google Earth,0,446185,3.5,4+,Travel,1
54,293760823,iFart - The Original Fart Sounds App,1.99,21825,3,9+,Entertainment,1
55,293778748,PAC-MAN,0,508808,3,4+,Games,1
57,294056623,FOX Sports Mobile,0,57500,3,4+,Sports,1
58,294536447,First Words Animals,1.99,2576,4,4+,Games,1
59,294631159,WeatherPro,1.99,1572,4,4+,Weather,1
60,294934058,HotSchedules,2.99,3292,3,4+,Business,1
61,295430577,Star Walk - Find Stars And Planets in Sky Above,4.99,8932,4.5,4+,Education,1
62,295646461,"The Weather Channel: Forecast, Radar & Alerts",0,495626,3.5,4+,Weather,1
63,295759189,Big Day - Event Countdown,0.99,812,3,4+,Lifestyle,1
64,295775656,12 Steps AA Companion - Alcoholics Anonymous,2.99,1583,3.5,12+,Lifestyle,1
65,296581815,OpenTable - Restaurant Reservations,0,113936,4.5,4+,Food & Drink,1
66,297244048,VLC Remote,4.99,2027,4,4+,Entertainment,1
67,297332787,gFlashPro - Flashcards & Tests,3.99,768,4,4+,Education,1
68,297368629,Lose It! – Weight Loss Program and Calorie Counter,0,373835,4,4+,Health & Fitness,1
69,297430070,Target,0,108131,3,4+,Shopping,1
70,297606726,Fish Tycoon,0.99,18943,3.5,4+,Games,1
71,297606951,"Amazon App: shop, scan, compare, and read reviews",0,126312,3.5,4+,Shopping,1
72,297694601,Touchgrind,4.99,35735,4,4+,Games,1
73,298127110,ProPresenter Remote,4.99,410,3,4+,Utilities,1
74,298206806,iReal Pro - Music Book & Play Along,12.99,1390,4.5,4+,Music,1
75,298596830,NRJ Radio,0,38,3.5,4+,Music,1
76,298867247,Chase Mobile℠,0,233270,4.5,4+,Finance,1
77,299029654,大辞林,21.99,64,4.5,4+,Reference,1
79,299515267,Allrecipes Dinner Spinner,0,109349,3.5,12+,Food & Drink,1
80,299853944,新浪新闻-阅读最新时事热门头条资讯视频,0,2229,3.5,17+,News,1
81,299949744,MotionX GPS,1.99,14970,3.5,4+,Navigation,1
82,300048137,AccuWeather - Weather for Life,0,144214,3.5,4+,Weather,1
83,300238550,"Mint: Personal Finance, Budget, Bills & Money",0,232940,4,4+,Finance,1
84,300255638,ABC News - US & World News + Live Video,0,48407,3,12+,News,1
85,300265786,Rowmote: Remote Control for Mac,0.99,5531,3.5,4+,Utilities,1
86,300590611,Peekaboo Barn,1.99,3393,4,4+,Education,1
87,300704847,Speedtest by Ookla,0,65016,3.5,4+,Utilities,1
89,301387274,Pocket God,0.99,187529,4,9+,Entertainment,1
90,301521403,Nike+ Training Club - Workouts & Fitness Plans,0,33969,3.5,4+,Health & Fitness,1
91,301724680,Citi Mobile®,0,48822,3.5,4+,Finance,1
92,302049354,Phase 10 Pro - Play Your Friends!,1.99,59155,4.5,4+,Games,1
93,302584613,"Kindle – Read eBooks, Magazines & Textbooks",0,252076,3.5,4+,Book,1
95,303058767,MASH,1.99,4913,4,9+,Games,1
96,303191318,同花顺-炒股、股票,0,1744,3.5,4+,Finance,1
97,303337299,Wedding Dash Deluxe,0.99,16567,4.5,4+,Games,1
99,303849934,Beer Pong Game,0,187315,2,17+,Games,1
100,304731501,Tempo - Metronome with Setlists,2.99,4781,4.5,4+,Music,1
101,304770340,Skat,3.99,94,4.5,4+,Games,1
102,304871603,Color Splash,0.99,29554,4,4+,Photo & Video,1
103,304871622,Zombieville USA,0.99,32988,4,12+,Games,1
104,304878510,Skype for iPhone,0,373519,3.5,4+,Social Networking,1
105,305343404,Tumblr,0,334293,4,17+,Social Networking,1
106,305557780,iSwap Faces,1.99,2302,3.5,4+,Photo & Video,1
107,305939712,Match™ - #1 Dating App.,0,60659,3,17+,Social Networking,1
108,306169895,Tozzle - Toddler's favorite puzzle,2.99,2562,4,4+,Games,1
109,306257910,HomeBudget with Sync,4.99,3042,3.5,4+,Finance,1
110,306375551,Wind Meter,0.99,338,2.5,4+,Weather,1
111,306468004,Map My Run+ - GPS Running & Workout Tracker,2.99,16434,4.5,4+,Health & Fitness,1
112,306561234,Map My Ride+ - GPS Cycling & Route Tracker,2.99,10046,4.5,4+,Health & Fitness,1
113,306621789,"HuffPost - News, Politics & Entertainment",0,29107,3,12+,News,1
114,306628397,Phrase Party!,1.99,878,4,17+,Games,1
115,306937053,Minesweeper Classic,0.99,1140,3.5,4+,Games,1
116,307132353,Sally's Spa,2.99,35074,4.5,4+,Games,1
117,307184892,"CBS Sports App - Sports Scores, News, Stats, Watch",0,59639,3,17+,Sports,1
118,307219387,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,4.99,2913,4,4+,Health & Fitness,1
119,307354030,iSwap Faces LITE,0,39722,3,4+,Photo & Video,1
120,307386350,DIRECTV,0,81006,3.5,4+,Entertainment,1
121,307569751,NYTimes Crossword - Daily Word Puzzle Game,0,53465,3.5,4+,Games,1
122,307727765,Doodle Jump,0.99,395261,4.5,4+,Games,1
123,307741537,LEDit – The LED Banner App,1.99,2021,4.5,4+,Utilities,1
